,id,Blame externalization,Rebellious nonconformity,Stress immunity,Social influence,Coldheartedness,Machiavellian egocentricity,Carefree nonplanfulness,Fearlessness,sum_ppi_r,insincerity
A,A001,18,57,46,53,27,35,24,25,285,53
A,A002,22,41,46,46,30,32,30,9,256,43
A,A003,34,56,37,46,32,31,30,24,290,41
A,A004,19,46,51,34,38,32,22,18,260,47
A,A005,45,82,37,37,37,46,38,27,349,31
A,A006,31,53,42,43,29,40,24,16,278,40
A,A007,23,49,56,49,39,35,32,20,303,42
A,A008,18,47,54,46,31,27,26,16,265,38
A,A009,35,35,35,43,19,31,38,8,244,41
A,A010,18,74,38,59,30,39,27,17,302,32
A,A011,21,78,48,47,34,32,32,24,316,37
A,A012,25,46,39,43,24,34,30,15,256,31
A,A013,31,56,38,45,39,36,35,17,297,37
A,A014,34,44,31,42,29,31,41,12,264,47
A,A015,25,40,45,50,23,34,17,24,258,50
A,A016,29,54,45,41,34,27,36,17,283,55
A,A017,25,43,43,51,24,30,22,20,258,42
G,G001,31,51,50,53,25,32,21,21,284,40
G,G002,51,46,42,38,28,38,21,26,290,41
G,G003,36,50,39,34,33,36,27,19,274,43
G,G004,55,74,47,51,32,35,32,24,350,43
G,G005,33,41,37,36,30,36,24,9,246,32
G,G006,43,39,49,42,30,29,30,18,280,59
G,G007,30,78,48,54,36,34,38,18,336,36
G,G008,32,48,45,48,29,32,30,11,275,43
G,G009,23,40,32,35,36,27,24,15,232,41
G,G010,21,77,57,65,34,51,33,18,356,37
G,G011,24,48,51,46,29,29,26,14,267,44
G,G012,32,90,39,43,34,39,27,25,329,35
G,G013,40,68,60,35,47,40,30,13,333,42
G,G014,36,54,42,48,45,39,24,23,311,34
G,G015,35,41,41,48,30,28,26,18,267,38
G,G016,21,42,61,58,34,35,19,25,295,49
G,G017,26,76,40,56,27,37,23,22,307,33
G,G018,18,30,52,48,31,30,23,15,247,57
G,G019,43,73,25,32,32,46,35,10,296,38
G,G020,29,60,45,43,31,35,32,22,297,37
G,G021,27,78,59,64,36,42,30,27,363,39
G,G022,38,42,21,35,37,42,41,7,263,40
G,G023,31,37,51,49,28,27,19,26,268,47
G,G024,24,51,45,41,29,28,27,20,265,43
G,G025,49,39,40,44,24,29,22,10,257,52
G,G026,44,51,32,40,26,32,29,7,261,38
G,G027,35,72,41,37,44,35,34,20,318,41
G,G028,19,45,47,38,42,35,29,17,272,47
G,G029,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
G,G030,36,34,53,39,31,26,23,17,259,42
K,K001,29,45,52,51,27,33,35,17,289,44
K,K002,29,59,40,39,30,31,36,24,288,47
K,K003,44,38,48,21,24,23,29,7,234,57
K,K004,40,46,45,36,29,32,35,21,284,49
K,K005,45,58,69,34,30,40,38,17,331,56
K,K007,41,63,40,27,36,36,36,21,300,43
K,K008,38,42,41,27,29,35,31,9,252,46
K,K009,27,54,37,46,38,43,21,16,282,38
K,K010,53,74,39,38,26,36,38,14,318,51
K,K011,25,37,50,41,30,28,33,16,260,40
K,K012,46,51,42,25,31,34,27,17,273,42
K,K013,31,45,39,26,27,29,25,10,232,44
K,K014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
K,K015,45,45,37,38,28,40,21,11,265,30
K,K031,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
