,,F,M,group
A,A001,0.538618614895,0.527474470251,2
A,A002,0.51550149395,0.556186596137,2
A,A003,0.485626760874,0.693391972873,2
A,A005,0.471887473971,0.476160556045,2
A,A006,0.607114377069,0.509248846962,2
A,A007,0.77391575592,0.483101780287,2
A,A008,0.683254077011,0.741930806389,2
A,A009,0.503591387007,0.463106379158,2
A,A010,0.533883634358,0.518686810418,2
A,A011,0.686932957688,0.562946822407,2
A,A012,0.547491825468,0.555223859216,2
A,A013,0.583168547084,0.649982138261,2
A,A014,0.556309806577,0.564849304593,2
A,A015,0.604322447552,0.595951880281,2
A,A016,0.57838137382,0.515938256872,2
A,A017,0.572572582835,0.544188069939,2
G,G001,0.505508485344,0.525716860317,0
G,G003,0.561463129589,0.629384446753,0
G,G004,0.515697248997,0.510236752261,0
G,G005,0.470948887367,0.418579281974,0
G,G006,0.52636600761,0.478122781674,0
G,G007,0.471328214857,0.529986320796,0
G,G008,0.492434850005,0.433264322035,0
G,G009,0.343235825335,0.370897381058,0
G,G010,0.514630301939,0.443966429762,0
G,G012,0.643545231857,0.614405751173,0
G,G014,0.539931678474,0.435133858447,0
G,G015,0.546173926564,0.448189598863,0
G,G017,0.492148031513,0.454699468175,0
G,G018,0.620535423236,0.564289433756,0
G,G019,0.644480837463,0.488310606922,0
G,G020,0.627526207836,0.536445110503,0
G,G021,0.464503407725,0.246336875909,0
G,G022,0.365827393703,0.268755488515,0
G,G023,0.686840269783,0.474346451535,0
G,G024,0.450643229908,0.410190247601,0
G,G026,0.519577782344,0.580321765155,0
G,G027,0.264936475911,0.419048796754,0
G,G028,0.507981432904,0.518629794532,0
G,G029,0.614937613539,0.550406588008,0
G,G030,0.630660634863,0.590150986361,0
K,K001,0.595495288893,0.524441151132,1
K,K002,0.530355511559,0.500987065524,1
K,K005,0.523885662957,0.513181400964,1
K,K007,0.566655922608,0.52874720722,1
K,K008,0.56058294734,0.610357133172,1
K,K009,0.378884258069,0.333695842341,1
K,K010,0.651318309777,0.828720699092,1
K,K011,0.54416440691,0.478764665727,1
K,K012,0.393124315238,0.388372370421,1
K,K013,0.463544876223,0.476448440871,1
K,K014,0.610768268829,0.675351484515,1
K,K015,0.551056702407,0.574363271449,1
